School_Name,Address,City_Town,Postal_Code,School_Board,School_ID,Breakfast,Lunch,Snack
Immaculate Conception School,23 Comay Rd,Toronto,M6M2K9,Toronto CDSB,721603,Yes, , 
Indian Road Crescent Jr. P.S.,285 Indian Road Cres,Toronto,M6P2G8,Toronto DSB,275158,Yes, , 
Inglenook Community S,19 Sackville St,Toronto,M5A3E1,Toronto DSB,918237,Yes, , 
Island Public/Natural Science School,30 Centre Island Pk,Toronto,M5J2E9,Toronto DSB,278793,Yes, , 
Islington Jr. M.S.,44 Cordova Ave,Toronto,M9A2H5,Toronto DSB,278920,Yes, , 
J.G. Workman P.S.,487 Birchmount Rd,Toronto,M1K1N7,Toronto DSB,279706,Yes, , 
James Cardinal McGuigan C.H.S.,1440 Finch Ave W,Toronto,M3J3G3,Toronto CDSB,723096,Yes,Yes,Yes
James Culnan C.S.,605 Willard Ave,Toronto,M6S3S1,Toronto CDSB,723576,Yes, , 
Jarvis CI,495 Jarvis St,Toronto,M4Y2G8,Toronto DSB,918547,Yes, , 
Jean Augustine Girls' Leadership Academy,35 Glendower Circuit,Toronto,M1T2Z3,Toronto DSB,86698,Yes, , 
Jean Vanier CSS,959 Midland Ave,Toronto,M1K4G4,Toronto CDSB,723428,Yes, , 
Jesse Ketchum PS,61 Davenport Rd,Toronto,M5R1H4,Toronto DSB,282693,Yes, , 
John English Jr Middle School,95 Mimico Ave,Toronto,M8V1R4,Toronto DSB,283479,Yes,Yes, 
John Polanyi C. I.,640 Lawrence Avenue West,Toronto,M6A1B1,Toronto DSB,906736,Yes, , 
Kensington Jr C.S.,401 College St,Toronto,M5T1S9,Toronto DSB,289817,Yes, , 
Kimberley Jr PS,50 Swanwick Ave,Toronto,M4E2Z5,Toronto DSB,291927,, ,Yes
King Edward PS,112 Lippincott St,Toronto,M5S2P1,Toronto DSB,294780,Yes, , 
Kingsview Village JPS,1 York Rd,Toronto,M9R3C8,Toronto DSB,300373,Yes,Yes, 
